2024-12-21 23:16:28,871 INFO    MainThread:3757065 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_setup.py:_flush():68] Configure stats pid to 3757065
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_setup.py:_flush():68] Loading settings from /home/changye/.config/wandb/settings
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_setup.py:_flush():68] Loading settings from /mnt/file2/changye/NLPFINAL/fine-tuning/wandb/settings
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_init.py:_log_setup():528] Logging user logs to /mnt/file2/changye/NLPFINAL/fine-tuning/wandb/run-20241221_231628-fzp935fm/logs/debug.log
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_init.py:_log_setup():529] Logging internal logs to /mnt/file2/changye/NLPFINAL/fine-tuning/wandb/run-20241221_231628-fzp935fm/logs/debug-internal.log
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_init.py:init():639] calling init triggers
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_init.py:init():645] wandb.init called with sweep_config: {}
config: {'train_file': '/mnt/file2/changye/dataset/casual_formal_pair_ACL40k/val', 'val_file': '/mnt/file2/changye/dataset/casual_formal_pair_ACL40k/train', 'output_dir': '/mnt/file2/changye/model/gpt2-formal-finetuned', 'logging_dir': './logs', 'num_epochs': 3, 'train_batch_size': 3, 'eval_batch_size': 3, 'logging_steps': 100, 'max_length': 512, 'dataloader_num_workers': 60, 'gradient_accumulation_steps': 2, 'wandb_project': 'academic_finetuning', 'wandb_entity': None}
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_init.py:init():688] starting backend
2024-12-21 23:16:28,872 INFO    MainThread:3757065 [wandb_init.py:init():692] sending inform_init request
2024-12-21 23:16:28,879 INFO    MainThread:3757065 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-21 23:16:28,880 INFO    MainThread:3757065 [wandb_init.py:init():705] backend started and connected
2024-12-21 23:16:28,886 INFO    MainThread:3757065 [wandb_init.py:init():798] updated telemetry
2024-12-21 23:16:28,893 INFO    MainThread:3757065 [wandb_init.py:init():830] communicating run to backend with 90.0 second timeout
2024-12-21 23:16:30,273 INFO    MainThread:3757065 [wandb_init.py:init():882] starting run threads in backend
2024-12-21 23:16:30,454 INFO    MainThread:3757065 [wandb_run.py:_console_start():2443] atexit reg
2024-12-21 23:16:30,454 INFO    MainThread:3757065 [wandb_run.py:_redirect():2293] redirect: wrap_raw
2024-12-21 23:16:30,454 INFO    MainThread:3757065 [wandb_run.py:_redirect():2358] Wrapping output streams.
2024-12-21 23:16:30,454 INFO    MainThread:3757065 [wandb_run.py:_redirect():2383] Redirects installed.
2024-12-21 23:16:30,455 INFO    MainThread:3757065 [wandb_init.py:init():925] run started, returning control to user process
